drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
0.825,3.75,0.5,0.0,6.0,57.800,FLADSPLIT
0.825,4.0,0.5,0.0,6.0,53.900,FLADSPLIT
0.825,4.25,0.5,0.0,6.0,50.900,FLADSPLIT
0.825,4.5,0.5,0.0,6.0,49.050,FLADSPLIT
0.825,4.75,0.5,0.0,6.0,46.300,FLADSPLIT
0.825,5.0,0.5,0.0,6.0,44.350,FLADSPLIT
0.850,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.850,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.850,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.850,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.850,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.850,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.850,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.850,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.850,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.850,2.25,0.5,0.0,6.0,197.450,FLADSPLIT
0.850,2.5,0.5,0.0,6.0,125.150,FLADSPLIT
0.850,2.75,0.5,0.0,6.0,92.550,FLADSPLIT
0.850,3.0,0.5,0.0,6.0,76.400,FLADSPLIT
0.850,3.25,0.5,0.0,6.0,66.850,FLADSPLIT
0.850,3.5,0.5,0.0,6.0,60.800,FLADSPLIT
0.850,3.75,0.5,0.0,6.0,56.000,FLADSPLIT
0.850,4.0,0.5,0.0,6.0,53.450,FLADSPLIT
0.850,4.25,0.5,0.0,6.0,50.200,FLADSPLIT
0.850,4.5,0.5,0.0,6.0,47.500,FLADSPLIT
0.850,4.75,0.5,0.0,6.0,45.400,FLADSPLIT
0.850,5.0,0.5,0.0,6.0,44.500,FLADSPLIT
0.875,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.875,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.875,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.875,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.875,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.875,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.875,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.875,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.875,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.875,2.25,0.5,0.0,6.0,174.700,FLADSPLIT
0.875,2.5,0.5,0.0,6.0,114.400,FLADSPLIT
0.875,2.75,0.5,0.0,6.0,87.200,FLADSPLIT
0.875,3.0,0.5,0.0,6.0,74.200,FLADSPLIT
0.875,3.25,0.5,0.0,6.0,64.800,FLADSPLIT
0.875,3.5,0.5,0.0,6.0,59.350,FLADSPLIT
0.875,3.75,0.5,0.0,6.0,54.650,FLADSPLIT
0.875,4.0,0.5,0.0,6.0,52.150,FLADSPLIT
0.875,4.25,0.5,0.0,6.0,48.750,FLADSPLIT
0.875,4.5,0.5,0.0,6.0,46.800,FLADSPLIT
0.875,4.75,0.5,0.0,6.0,45.050,FLADSPLIT
0.875,5.0,0.5,0.0,6.0,42.900,FLADSPLIT
0.900,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.900,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.900,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.900,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.900,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.900,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.900,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.900,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.900,2.0,0.5,0.0,6.0,296.250,FLADSPLIT
0.900,2.25,0.5,0.0,6.0,156.600,FLADSPLIT
0.900,2.5,0.5,0.0,6.0,106.150,FLADSPLIT
0.900,2.75,0.5,0.0,6.0,83.350,FLADSPLIT
0.900,3.0,0.5,0.0,6.0,70.750,FLADSPLIT
0.900,3.25,0.5,0.0,6.0,62.500,FLADSPLIT
0.900,3.5,0.5,0.0,6.0,57.650,FLADSPLIT
0.900,3.75,0.5,0.0,6.0,53.850,FLADSPLIT
0.900,4.0,0.5,0.0,6.0,50.300,FLADSPLIT
0.900,4.25,0.5,0.0,6.0,48.300,FLADSPLIT
0.900,4.5,0.5,0.0,6.0,46.300,FLADSPLIT
0.900,4.75,0.5,0.0,6.0,44.200,FLADSPLIT
0.900,5.0,0.5,0.0,6.0,43.200,FLADSPLIT
0.925,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.925,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.925,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.925,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.925,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.925,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.925,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.925,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.925,2.0,0.5,0.0,6.0,256.250,FLADSPLIT
0.925,2.25,0.5,0.0,6.0,139.950,FLADSPLIT
0.925,2.5,0.5,0.0,6.0,99.200,FLADSPLIT
0.925,2.75,0.5,0.0,6.0,80.200,FLADSPLIT
0.925,3.0,0.5,0.0,6.0,68.500,FLADSPLIT
0.925,3.25,0.5,0.0,6.0,61.450,FLADSPLIT
0.925,3.5,0.5,0.0,6.0,56.350,FLADSPLIT
0.925,3.75,0.5,0.0,6.0,52.250,FLADSPLIT
0.925,4.0,0.5,0.0,6.0,50.450,FLADSPLIT
0.925,4.25,0.5,0.0,6.0,47.600,FLADSPLIT
0.925,4.5,0.5,0.0,6.0,45.450,FLADSPLIT
0.925,4.75,0.5,0.0,6.0,44.800,FLADSPLIT
0.925,5.0,0.5,0.0,6.0,42.900,FLADSPLIT
0.950,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.950,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.950,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.950,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.950,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.950,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.950,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.950,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.950,2.0,0.5,0.0,6.0,220.000,FLADSPLIT
0.950,2.25,0.5,0.0,6.0,128.500,FLADSPLIT
0.950,2.5,0.5,0.0,6.0,93.600,FLADSPLIT
0.950,2.75,0.5,0.0,6.0,77.700,FLADSPLIT
0.950,3.0,0.5,0.0,6.0,66.550,FLADSPLIT
0.950,3.25,0.5,0.0,6.0,60.200,FLADSPLIT
0.950,3.5,0.5,0.0,6.0,55.300,FLADSPLIT
0.950,3.75,0.5,0.0,6.0,52.450,FLADSPLIT
0.950,4.0,0.5,0.0,6.0,48.650,FLADSPLIT
0.950,4.25,0.5,0.0,6.0,45.350,FLADSPLIT
0.950,4.5,0.5,0.0,6.0,44.350,FLADSPLIT
0.950,4.75,0.5,0.0,6.0,43.200,FLADSPLIT
0.950,5.0,0.5,0.0,6.0,42.250,FLADSPLIT
0.975,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.975,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.975,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.975,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.975,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.975,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.975,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.975,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.975,2.0,0.5,0.0,6.0,194.050,FLADSPLIT
0.975,2.25,0.5,0.0,6.0,120.450,FLADSPLIT
0.975,2.5,0.5,0.0,6.0,89.000,FLADSPLIT
0.975,2.75,0.5,0.0,6.0,74.350,FLADSPLIT
0.975,3.0,0.5,0.0,6.0,64.050,FLADSPLIT
0.975,3.25,0.5,0.0,6.0,57.700,FLADSPLIT
0.975,3.5,0.5,0.0,6.0,53.450,FLADSPLIT
0.975,3.75,0.5,0.0,6.0,50.650,FLADSPLIT
0.975,4.0,0.5,0.0,6.0,48.100,FLADSPLIT
0.975,4.25,0.5,0.0,6.0,46.750,FLADSPLIT
