drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
1.0,9.5,0.5,8.0,linear,33.350,FLAD
1.0,9.5,0.5,9.0,linear,36.000,FLAD
1.0,0.0,0.0,10.0,linear,NAN,RIDL
1.0,0.0,0.0,11.0,linear,NAN,RIDL
1.0,0.0,0.0,12.0,linear,NAN,RIDL
1.0,0.0,0.0,13.0,linear,NAN,RIDL
1.0,0.0,0.0,14.0,linear,NAN,RIDL
1.0,0.0,0.0,15.0,linear,NAN,RIDL
1.0,0.0,0.0,16.0,linear,NAN,RIDL
1.0,0.0,0.0,2.0,linear,NAN,RIDL
1.0,0.0,0.0,3.0,linear,NAN,RIDL
1.0,0.0,0.0,4.0,linear,NAN,RIDL
1.0,0.0,0.0,5.0,linear,NAN,RIDL
1.0,0.0,0.0,6.0,linear,NAN,RIDL
1.0,0.0,0.0,7.0,linear,NAN,RIDL
1.0,0.0,0.0,8.0,linear,NAN,RIDL
1.0,0.0,0.0,9.0,linear,NAN,RIDL
1.0,10.0,0.0,10.0,linear,53.900,RIDL
1.0,10.0,0.0,11.0,linear,68.700,RIDL
1.0,10.0,0.0,12.0,linear,125.250,RIDL
1.0,10.0,0.0,13.0,linear,NAN,RIDL
1.0,10.0,0.0,14.0,linear,NAN,RIDL
1.0,10.0,0.0,15.0,linear,NAN,RIDL
1.0,10.0,0.0,16.0,linear,NAN,RIDL
1.0,10.0,0.0,2.0,linear,23.550,RIDL
1.0,10.0,0.0,3.0,linear,26.300,RIDL
1.0,10.0,0.0,4.0,linear,28.350,RIDL
1.0,10.0,0.0,5.0,linear,31.050,RIDL
1.0,10.0,0.0,6.0,linear,33.000,RIDL
1.0,10.0,0.0,7.0,linear,36.100,RIDL
1.0,10.0,0.0,8.0,linear,39.550,RIDL
1.0,10.0,0.0,9.0,linear,45.300,RIDL
1.0,1.0,0.0,10.0,linear,NAN,RIDL
