sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
183,0,0,0,NAN,NAN,78075,49540,29397,2.56164e-05,0.000136068,0.5,1.0,6.0,3.0
184,0,0,0,NAN,NAN,78915,50040,29322,6.33593e-05,8.52602e-05,0.5,1.0,6.0,3.0
185,0,0,0,NAN,NAN,79458,50320,28062,6.29263e-05,7.12708e-05,0.5,1.0,6.0,3.0
186,0,0,0,NAN,NAN,78734,50083,28674,3.8103e-05,0.000156937,0.5,1.0,6.0,3.0
187,0,0,0,NAN,NAN,78781,50278,27707,7.61605e-05,9.02299e-05,0.5,1.0,6.0,3.0
188,0,0,0,NAN,NAN,78174,50178,28207,5.75639e-05,0.000212713,0.5,1.0,6.0,3.0
189,0,0,0,NAN,NAN,78067,49978,28353,8.32618e-05,0.000123444,0.5,1.0,6.0,3.0
190,0,0,0,NAN,NAN,77965,49918,28181,4.48919e-05,5.32274e-05,0.5,1.0,6.0,3.0
191,0,0,0,NAN,NAN,77774,49772,28541,1.28578e-05,0.000122631,0.5,1.0,6.0,3.0
192,0,0,0,NAN,NAN,78087,49715,29455,1.92093e-05,0.00010185,0.5,1.0,6.0,3.0
193,0,0,0,NAN,NAN,79036,50212,28461,2.53049e-05,0.000122975,0.5,1.0,6.0,3.0
194,0,0,0,NAN,NAN,78854,49974,27801,1.90225e-05,0.0,0.5,1.0,6.0,3.0
195,0,0,0,NAN,NAN,78054,49925,29684,6.40582e-06,8.42205e-05,0.5,1.0,6.0,3.0
196,0,0,0,NAN,NAN,79134,50428,28327,1.89552e-05,0.0,0.5,1.0,6.0,3.0
197,0,0,0,NAN,NAN,78935,50083,28159,1.9003e-05,1.77563e-05,0.5,1.0,6.0,3.0
198,0,0,0,NAN,NAN,78436,49806,27814,6.37462e-06,8.98828e-05,0.5,1.0,6.0,3.0
199,0,0,0,NAN,NAN,77545,49389,29476,6.44787e-06,3.39259e-05,0.5,1.0,6.0,3.0
200,0,0,0,NAN,NAN,78556,49981,29786,1.27298e-05,0.0,0.5,1.0,6.0,3.0
201,0,0,0,NAN,NAN,79942,50634,28453,1.25091e-05,0.0,0.5,1.0,6.0,3.0
202,0,0,0,NAN,NAN,79367,50413,27260,6.29985e-06,0.0,0.5,1.0,6.0,3.0
203,0,0,0,NAN,NAN,77811,49800,28260,0.0,0.0,0.5,1.0,6.0,3.0

