generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
242,31729,7437,0,0.71807,1.0,0.28193,0.0,0.5,0.525,6.0,linear
243,31754,7543,0,0.718773,1.0,0.281227,0.0,0.5,0.525,6.0,linear
244,31723,7436,0,0.71948,1.0,0.28052,0.0,0.5,0.525,6.0,linear
245,31967,7367,0,0.718674,1.0,0.281326,0.0,0.5,0.525,6.0,linear
246,31926,7368,0,0.717208,1.0,0.282792,0.0,0.5,0.525,6.0,linear
247,31304,7356,0,0.717119,1.0,0.282881,0.0,0.5,0.525,6.0,linear
248,31265,7377,0,0.717594,1.0,0.282406,0.0,0.5,0.525,6.0,linear
249,31383,7415,0,0.718096,1.0,0.281904,0.0,0.5,0.525,6.0,linear
250,31396,7503,0,0.718171,1.0,0.281829,0.0,0.5,0.525,6.0,linear
251,31590,7471,0,0.71831,1.0,0.28169,0.0,0.5,0.525,6.0,linear
252,31763,7492,0,0.716661,1.0,0.283339,0.0,0.5,0.525,6.0,linear
253,31847,7528,0,0.715767,1.0,0.284233,0.0,0.5,0.525,6.0,linear
254,31524,7514,0,0.714984,1.0,0.285016,0.0,0.5,0.525,6.0,linear
255,31695,7490,0,0.715691,1.0,0.284309,0.0,0.5,0.525,6.0,linear
256,31840,7481,0,0.715267,1.0,0.284733,0.0,0.5,0.525,6.0,linear
257,31740,7476,0,0.716265,1.0,0.283735,0.0,0.5,0.525,6.0,linear
258,31658,7452,0,0.716541,1.0,0.283459,0.0,0.5,0.525,6.0,linear
259,31939,7512,0,0.716857,1.0,0.283143,0.0,0.5,0.525,6.0,linear
260,31798,7548,0,0.717205,1.0,0.282795,0.0,0.5,0.525,6.0,linear
261,31859,7630,0,0.717483,1.0,0.282517,0.0,0.5,0.525,6.0,linear
262,31919,7613,0,0.717418,1.0,0.282582,0.0,0.5,0.525,6.0,linear
263,32287,7722,0,0.715985,1.0,0.284015,0.0,0.5,0.525,6.0,linear
264,32616,7792,0,0.71604,1.0,0.28396,0.0,0.5,0.525,6.0,linear
265,32523,7756,0,0.716112,1.0,0.283888,0.0,0.5,0.525,6.0,linear
266,32669,7717,0,0.714649,1.0,0.285351,0.0,0.5,0.525,6.0,linear
267,32551,7681,0,0.716962,1.0,0.283038,0.0,0.5,0.525,6.0,linear
268,32562,7751,0,0.716102,1.0,0.283898,0.0,0.5,0.525,6.0,linear
269,32123,7741,0,0.715355,1.0,0.284645,0.0,0.5,0.525,6.0,linear
270,32246,7751,0,0.715865,1.0,0.284135,0.0,0.5,0.525,6.0,linear
271,32399,7769,0,0.716164,1.0,0.283836,0.0,0.5,0.525,6.0,linear
272,32572,7750,0,0.717388,1.0,0.282612,0.0,0.5,0.525,6.0,linear
273,32316,7724,0,0.717152,1.0,0.282848,0.0,0.5,0.525,6.0,linear
274,32546,7728,0,0.716767,1.0,0.283233,0.0,0.5,0.525,6.0,linear
275,32229,7783,0,0.715551,1.0,0.284449,0.0,0.5,0.525,6.0,linear
276,32035,7726,0,0.715473,1.0,0.284527,0.0,0.5,0.525,6.0,linear
277,32522,7788,0,0.71489,1.0,0.28511,0.0,0.5,0.525,6.0,linear
278,32415,7638,0,0.715528,1.0,0.284472,0.0,0.5,0.525,6.0,linear
279,32627,7725,0,0.715352,1.0,0.284648,0.0,0.5,0.525,6.0,linear
280,32657,7705,0,0.716857,1.0,0.283143,0.0,0.5,0.525,6.0,linear
281,32444,7733,0,0.717506,1.0,0.282494,0.0,0.5,0.525,6.0,linear
282,32552,7767,0,0.715783,1.0,0.284217,0.0,0.5,0.525,6.0,linear
283,32304,7751,0,0.715872,1.0,0.284128,0.0,0.5,0.525,6.0,linear
284,32575,7826,0,0.716145,1.0,0.283855,0.0,0.5,0.525,6.0,linear
285,32612,7826,0,0.715401,1.0,0.284599,0.0,0.5,0.525,6.0,linear
286,32714,7798,0,0.715085,1.0,0.284915,0.0,0.5,0.525,6.0,linear
