"generation","adult_population_size","adult_female_population_size","juvenile_population_size","adult_drive_frequency","juvenile_drive_frequency","drive_efficiency"
202,78446.55,49993.35,28473.6,3.200615e-07,8.81055e-07,0.5
203,78382.45,49952.9,28713.45,3.205785e-07,0,0.5
204,78653.55,50037.05,28486.9,0,1.74929e-06,0.5
205,78585.55,50016.4,28509.25,0,9.15685e-07,0.5
206,78521.6,49975.05,28734.05,3.20217e-07,0,0.5
207,78655.5,50031.75,28544.45,3.204305e-07,0,0.5
208,78671.95,50048.05,28437.8,3.20201e-07,0,0.5
209,78480.3,49940.7,28453.35,0,8.58105e-07,0.5
210,78358.45,49927.9,28785.55,3.17263e-07,1.718035e-06,0.5
211,78641.85,50044.45,28607.5,6.28755e-07,0,0.5
212,78679.6,50042.65,28326.55,3.16504e-07,9.1915e-07,0.5
213,78417.8,49922.8,28522.9,3.225515e-07,8.986e-07,0.5
214,78406.7,49941,28888.5,3.24667e-07,8.4448e-07,0.5
215,78777,50074,28331.6,3.182405e-07,8.6347e-07,0.5
216,78511.25,49937.25,28610.35,6.3438e-07,0,0.5
217,78525.6,49963.5,28814,3.170055e-07,3.535195e-06,0.5
218,78831.25,50143.2,28292.75,6.36675e-07,8.54115e-07,0.5
219,78503.55,49955.65,28364.95,6.33225e-07,8.7257e-07,0.5
220,78275.6,49825.05,28707.3,6.34495e-07,0,0.5
221,78416.6,49893.7,28806.45,3.163675e-07,0,0.5
222,78757.6,50084.95,28561.9,0,0,0.5
223,78720.6,50077.7,28261,0,1.730585e-06,0.5
224,78316.35,49894.25,28698.2,0,0,0.5
225,78486,49991.45,28733.3,0,0,0.5
226,78696.6,50113.15,28336.55,0,0,0.5
227,78426.2,50032.1,28520.3,0,0,0.5
228,78450.3,50032.6,28589.25,0,0,0.5
229,78506.1,50010.65,28639.5,0,0,0.5
230,78655.15,50073.25,28377.8,0,0,0.5
231,78454.5,50009.9,28567.5,0,0,0.5
232,78491.4,50009.2,28471.95,0,0,0.5
233,78409.4,49970.35,28606.75,0,0,0.5
234,78510.45,50002.65,28538.2,0,0,0.5
235,78523.7,49987.05,28628.45,0,0,0.5
236,78664.7,50063.35,28660.55,0,0,0.5
237,78701.25,50085.55,28342.5,0,0,0.5
238,78462.25,49975.65,28690.95,0,0,0.5
239,78599.2,50021.95,28328.2,0,0,0.5
240,78358.4,49905.45,28347.05,0,0,0.5
241,78185.25,49821.2,28866.7,0,0,0.5
242,78597.4,50007.9,28822.3,0,0,0.5
243,78908.95,50162,28305.55,0,0,0.5
244,78525.85,49971.85,28170.45,0,0,0.5
245,78071.1,49733.6,28791.35,0,0,0.5
246,78439.55,49913.7,28979.5,0,0,0.5
247,78954.45,50137.3,28373.3,0,0,0.5
248,78614.1,49950.15,28408.3,0,0,0.5
249,78382.8,49884.7,28809.9,0,0,0.5
250,78680.65,50043.95,28623.55,0,0,0.5
251,78752.15,50053.8,28395.1,0,0,0.5
252,78473.7,49930.7,28584.35,0,0,0.5
253,78488.95,49953.65,28552.65,0,0,0.5
254,78562.35,50005.35,28675.9,0,0,0.5
255,78674.55,50069,28459.15,0,0,0.5
256,78537.8,50001.4,28456.65,0,0,0.5
257,78429.9,49934.35,28703.1,0,0,0.5
258,78585.4,50001.2,28654.75,0,0,0.5
259,78687.2,50015.4,28456.3,0,0,0.5
260,78560.9,49974,28584.4,0,0,0.5
261,78527.65,49959.8,28584.05,0,0,0.5
262,78526.65,49991.35,28512.9,0,0,0.5
263,78504.8,49972.9,28673.1,0,0,0.5
264,78633.75,49996.1,28702.6,0,0,0.5
265,78793.05,50030.6,28450.65,0,0,0.5
266,78580.65,49963.75,28711,0,0,0.5
267,78687.7,50039.1,28484.5,0,0,0.5
268,78526.5,49996.4,28646.6,0,0,0.5
269,78638.7,50061.85,28584.5,0,0,0.5
270,78618.25,50025.3,28380.35,0,0,0.5
271,78434,49963.05,28633.15,0,0,0.5
272,78492.8,49981.7,28737.4,0,0,0.5
273,78650.05,50014.85,28384.85,0,0,0.5
274,78475.85,49929.25,28375,0,0,0.5
275,78266.2,49800.25,28680.55,0,0,0.5
276,78423.55,49880.35,28958.85,0,0,0.5
277,78881.35,50097.2,28633.9,0,0,0.5
278,78907.85,50146.35,28253.25,0,0,0.5
279,78497.65,49961.1,28581.9,0,0,0.5
280,78524.15,50036.6,28607.25,0,0,0.5
281,78524.15,50070.15,28528.25,0,0,0.5
282,78502.55,49997.15,28447.95,0,0,0.5
283,78390.9,49920.2,28570.25,0,0,0.5
284,78433.25,49923.05,28725.3,0,0,0.5
285,78657.3,49990,28572.65,0,0,0.5
286,78675.4,50026.8,28667.25,0,0,0.5
287,78713.45,50034.05,28380.85,0,0,0.5
288,78522.65,49986.55,28465.1,0,0,0.5
289,78429.4,49952.5,28599.05,0,0,0.5
290,78509.55,49991.05,28780.95,0,0,0.5
291,78761.9,50089.8,28616,0,0,0.5
292,78725.1,50030.55,28344.95,0,0,0.5
293,78457.9,49909.8,28459.7,0,0,0.5
294,78361.6,49857.6,28877.3,0,0,0.5
295,78669.2,50026.6,28577.2,0,0,0.5
296,78699.35,50062.95,28671.45,0,0,0.5
297,78750.3,50069.25,28315.6,0,0,0.5
298,78406.2,49875,28549.8,0,0,0.5
299,78413.7,49907.15,28704.8,0,0,0.5
300,78585.2,49945.3,28652.05,0,0,0.5
301,78643.55,49960.75,28573.95,0,0,0.5
302,78607.45,50030.2,28717.9,0,0,0.5
303,78771,50116.75,28314,0,0,0.5
304,78449.95,49975.05,28465.3,0,0,0.5
305,78365.6,49897.55,28759.7,0,0,0.5
306,78601.4,50047.65,28792.45,0,0,0.5
307,78840.95,50124.25,28412.35,0,0,0.5
308,78620.15,50052,28399.3,0,0,0.5
309,78423.05,49997.65,28762.35,0,0,0.5
310,78714.95,50193.25,28392.25,0,0,0.5
311,78515.2,50028,28214.8,0,0,0.5
312,78160,49781.15,28611.25,0,0,0.5
313,78307.6,49867.5,28942.55,0,0,0.5
314,78754,50101.1,28601.2,0,0,0.5
315,78788.55,50098.7,28256.85,0,0,0.5
316,78376.7,49929.45,28439.5,0,0,0.5
317,78260.35,49873,28800.85,0,0,0.5
